,links
146,https://www.linkedin.com/shareArticle?mini=true&url=https://blog.rapid7.com/2018/08/20/cis-critical-security-control-20-measure-your-security-standing-with-penetration-tests-and-red-team-exercises/&title=CIS Critical Security Control 20: Measure Your Security Standing with Penetration Tests and Red Team Exercises&summary=Protecting yourself from threats requires consistently asking yourself whether your security program is working as designed. Critical Control 20 covers pen tests and Red Team exercises.
147,https://twitter.com/intent/tweet?text=CIS Critical Security Control 20: Measure Your Security Standing with Penetration Tests and Red Team Exercises&url=https://blog.rapid7.com/2018/08/20/cis-critical-security-control-20-measure-your-security-standing-with-penetration-tests-and-red-team-exercises/
148,https://www.facebook.com/sharer/sharer.php?u=https://blog.rapid7.com/2018/08/20/cis-critical-security-control-20-measure-your-security-standing-with-penetration-tests-and-red-team-exercises/
149,https://www.rapid7.com/fundamentals/security-program-basics/
150,https://www.rapid7.com/solutions/compliance/critical-controls/
151,https://www.rapid7.com/solutions/penetration-testing/
152,https://www.rapid7.com/globalassets/_pdfs/product-and-service-briefs/rapid7-service-brief-penetration-testing-red-team.pdf
153,https://www.rapid7.com/fundamentals/penetration-testing/
154,https://www.rapid7.com/services/security-advisory-services/
155,"https://www.linkedin.com/shareArticle?mini=true&url=https://blog.rapid7.com/2018/08/17/metasploit-wrapup-53/&title=Metasploit Wrapup&summary=We had a great time meeting everyone at the various Metasploit events at hacker summer camp last week, including two popup capture the flag events with Metasploitable3, the Open Source Security Meetup and selling Metasploit 0xf Anniversary Tour."
156,https://twitter.com/intent/tweet?text=Metasploit Wrapup&url=https://blog.rapid7.com/2018/08/17/metasploit-wrapup-53/
157,https://www.facebook.com/sharer/sharer.php?u=https://blog.rapid7.com/2018/08/17/metasploit-wrapup-53/
158,https://blog.rapid7.com/2018/07/19/open-source-security-meetup-ossm-vegas-2018/
159,https://github.com/rapid7/metasploitable3#quick-start
160,https://app.vagrantup.com/rapid7/
161,https://www.rapid7.com/db/modules/exploit/windows/misc/weblogic_deserialize
162,https://www.rapid7.com/db/modules/auxiliary/dos/http/marked_redos
163,https://www.rapid7.com/db/modules/auxiliary/scanner/http/cgit_traversal
164,https://www.rapid7.com/db/modules/auxiliary/scanner/http/glassfish_traversal
165,https://github.com/rapid7/metasploit-framework/pull/10464
166,https://github.com/rapid7/metasploit-framework/pull/10463
167,https://github.com/rapid7/metasploit-framework/pull/10459
168,https://github.com/rapid7/metasploit-framework/pull/10456
169,https://github.com/rapid7/metasploit-payloads/pull/295
170,https://github.com/rapid7/metasploit-payloads/pull/293
171,https://github.com/rapid7/metasploit-framework/pull/10440
172,https://github.com/rapid7/metasploit-framework/pull/10433
173,https://github.com/rapid7/metasploit-framework/pull/10394
174,https://github.com/rapid7/metasploit-framework/pulls?q=is:pr+merged:%222018-08-07T17%3A16%3A36-05%3A00..2018-08-16T15%3A37%3A10-05%3A00%22
175,https://github.com/rapid7/metasploit-framework/compare/4.17.5...4.17.7
176,https://github.com/rapid7/metasploit-framework/compare/2c7ec03b...cfe1b09a
177,"https://www.linkedin.com/shareArticle?mini=true&url=https://blog.rapid7.com/2018/08/16/scan-management-with-insightappsec-theres-more-to-application-security-than-long-lists-of-vulnerabilities/&title=Scan Management with InsightAppSec: There’s More to Application Security than Long Lists of Vulnerabilities&summary=Knowing what you are scanning, how often, and with how much success is vital to knowing your vulnerability data is accurate, up-to-date, and reflects your security position. InsightAppSec can help."
178,https://twitter.com/intent/tweet?text=Scan Management with InsightAppSec: There’s More to Application Security than Long Lists of Vulnerabilities&url=https://blog.rapid7.com/2018/08/16/scan-management-with-insightappsec-theres-more-to-application-security-than-long-lists-of-vulnerabilities/
179,https://www.facebook.com/sharer/sharer.php?u=https://blog.rapid7.com/2018/08/16/scan-management-with-insightappsec-theres-more-to-application-security-than-long-lists-of-vulnerabilities/
180,https://www.rapid7.com/fundamentals/web-application-vulnerabilities/
181,https://www.rapid7.com/solutions/application-security/
182,https://www.rapid7.com/products/insightappsec/
183,https://www.rapid7.com/try/insightappsec
184,https://blog.rapid7.com/tag/devops/
185,https://www.rapid7.com/fundamentals/web-application-security/
186,https://www.rapid7.com/fundamentals/web-application-security-testing/
187,https://www.rapid7.com/fundamentals/cross-site-scripting/
188,https://www.rapid7.com/fundamentals/sql-injection-attacks/
189,https://www.rapid7.com/db/vulnerabilities/appspider-cross-site-request-forgery-csrf
190,"https://www.linkedin.com/shareArticle?mini=true&url=https://blog.rapid7.com/2018/08/15/2018-black-hat-recap/&title=A Tale of Security Summer Camp: Rapid7's 2018 Recap of Black Hat and Beyond&summary=From conference talks and business hall exhibitions to security trainings and personal conversations, the big takeaway from the past week was undeniable. Our industry is at an inflection point, and everyone is focused on a common theme: unification."
191,https://twitter.com/intent/tweet?text=A Tale of Security Summer Camp: Rapid7's 2018 Recap of Black Hat and Beyond&url=https://blog.rapid7.com/2018/08/15/2018-black-hat-recap/
192,https://www.facebook.com/sharer/sharer.php?u=https://blog.rapid7.com/2018/08/15/2018-black-hat-recap/
193,https://www.rapid7.com/fundamentals/devsecops/
194,https://www.rapid7.com/products/insight-platform
195,https://www.rapid7.com/solutions/user-behavior-analytics/
196,https://www.rapid7.com/try/insight/
197,https://www.rapid7.com/about/public-policy/
198,https://twitter.com/rapid7?ref_src=twsrc%5Etfw
199,"https://www.linkedin.com/shareArticle?mini=true&url=https://blog.rapid7.com/2018/08/14/patch-tuesday-august-2018/&title=Patch Tuesday - August 2018&summary=Microsoft's updates this month address over 60 vulnerabilities, 20 of which are classified as Critical. As usual, most of this month's fixes are browser-related,"
200,https://twitter.com/intent/tweet?text=Patch Tuesday - August 2018&url=https://blog.rapid7.com/2018/08/14/patch-tuesday-august-2018/
201,https://www.facebook.com/sharer/sharer.php?u=https://blog.rapid7.com/2018/08/14/patch-tuesday-august-2018/
202,"https://www.linkedin.com/shareArticle?mini=true&url=https://blog.rapid7.com/2018/08/13/cis-critical-security-control-19-steps-for-crafting-an-efficient-incident-response-and-management-strategy/&title=CIS Critical Security Control 19: Steps for Crafting an Efficient Incident Response and Management Strategy&summary=An effective incident response plan helps you quickly discover attacks, contain the damage, eradicate the attacker's presence, and restore the integrity of your network and systems."
203,https://twitter.com/intent/tweet?text=CIS Critical Security Control 19: Steps for Crafting an Efficient Incident Response and Management Strategy&url=https://blog.rapid7.com/2018/08/13/cis-critical-security-control-19-steps-for-crafting-an-efficient-incident-response-and-management-strategy/
204,https://www.facebook.com/sharer/sharer.php?u=https://blog.rapid7.com/2018/08/13/cis-critical-security-control-19-steps-for-crafting-an-efficient-incident-response-and-management-strategy/
205,https://blog.rapid7.com/2017/04/19/the-cis-critical-security-controls-series/
206,https://www.rapid7.com/fundamentals/incident-response/
207,https://www.rapid7.com/fundamentals/incident-response-plan/
208,https://www.rapid7.com/fundamentals/types-of-attacks/
209,https://www.rapid7.com/fundamentals/malware-attacks/
210,https://www.rapid7.com/fundamentals/phishing-attacks/
211,https://www.rapid7.com/fundamentals/denial-of-service-attacks/
212,https://information.rapid7.com/incident-response-planning-ebook-registration.html
213,https://www.rapid7.com/resources/wbw-incident-response-tabletop-exercises/
214,https://www.rapid7.com/fundamentals/security-awareness-training/
215,https://www.rapid7.com/resources/incident-detection-and-response-threat-simulation/
216,https://www.rapid7.com/globalassets/_pdfs/product-and-service-briefs/rapid7-managed-detection-and-response-evaluation-brief.pdf
217,https://www.rapid7.com/services/detection-and-response-services/
218,https://www.rapid7.com/try/insightidr
219,https://blog.rapid7.com/2018/08/20/cis-critical-security-control-20-measure-your-security-standing-with-penetration-tests-and-red-team-exercises/
220,https://www.linkedin.com/shareArticle?mini=true&url=https://blog.rapid7.com/2018/08/10/metasploit-wrapup-52/&title=Metasploit Wrapup&summary=Check Yourself Before You Wreck Yourself Even if you're a pro sleuth who can sniff out a vulnerability on even the most hardened of
221,https://twitter.com/intent/tweet?text=Metasploit Wrapup&url=https://blog.rapid7.com/2018/08/10/metasploit-wrapup-52/
222,https://www.facebook.com/sharer/sharer.php?u=https://blog.rapid7.com/2018/08/10/metasploit-wrapup-52/
223,https://github.com/rapid7/metasploit-framework/pull/10419
224,https://github.com/rapid7/metasploit-framework/pull/10417
225,https://github.com/rapid7/metasploit-framework/blob/master/modules/exploits/linux/http/hadoop_unauth_exec.rb
226,https://www.rapid7.com/db/modules/auxiliary/client/iec104/iec104
227,https://github.com/rapid7/metasploit-framework/pull/10410
228,https://github.com/rapid7/metasploit-framework/wiki/Metasploit-Remote-Data-Service-and-REST-API
229,https://github.com/rapid7/metasploitable3/pull/325
230,https://app.vagrantup.com/rapid7
231,https://www.rapid7.com/db/modules/auxiliary/dos/scada/siemens_siprotec4
232,https://www.rapid7.com/db/modules/auxiliary/scanner/http/cisco_directory_traversal
233,https://www.rapid7.com/db/modules/auxiliary/scanner/http/dicoogle_traversal
234,https://github.com/rapid7/metasploit-framework/pull/10421
235,https://github.com/rapid7/metasploit-framework/pulls?q=is:pr+merged:%222018-08-02T17%3A53%3A36%2B08%3A00..2018-08-07T17%3A16%3A36-05%3A00%22
236,https://github.com/rapid7/metasploit-framework/compare/4.17.4...4.17.5
237,https://github.com/rapid7/metasploit-framework/compare/7108a63e...2c7ec03b
238,https://www.rapid7.com/products/metasploit/download/
239,https://information.rapid7.com/national-exposure-index-2018.html
240,https://www.rapid7.com/data/national-exposure/2018.html
241,https://information.rapid7.com/q2-threat-intel-report.html
242,https://information.rapid7.com/how-to-build-threat-intelligence-into-your-incident-detection-and-response-strategy.html
243,https://blog.rapid7.com/2017/06/24/setting-up-and-managing-a-bug-bounty-program/
244,https://blog.rapid7.com/2017/04/24/actionable-remediation-projects/
245,https://blog.rapid7.com/2018/01/03/fast-and-secure-sdlc-4-barriers-to-tackle-for-better-web-application-security/
246,https://blog.rapid7.com/2018/02/13/finding-evil-why-managed-detection-and-response-zeroes-in-on-the-endpoint/
247,https://blog.rapid7.com/2018/05/10/password-tips-from-a-pen-tester-3-passwords-to-eliminate/
248,https://blog.rapid7.com/2018/07/19/password-tips-from-a-pen-tester-what-is-your-companys-default-password/
249,https://www.rapid7.com/fundamentals/penetration-testing-tools/
250,https://blog.rapid7.com/2011/07/27/password-cracking-in-metasploit-with-john-the-ripper/
251,https://www.rapid7.com/info/threat-report/2018-q2-threat-report/
252,https://www.rapid7.com/db/modules/exploit/android/adb/adb_server_exec
253,https://blog.rapid7.com/2018/04/27/drupalgeddon-vulnerability-what-is-it-are-you-impacted/
254,https://blog.rapid7.com/2017/08/09/remote-desktop-protocol-exposure/
255,https://opendata.rapid7.com/about/
256,https://information.rapid7.com/Q2-2018-quarterly-threat-report-august-2018.html
257,https://blog.rapid7.com/2016/06/23/penetration-testing-vs-red-teaming-the-age-old-debate-of-pirates-vs-ninja-continues/
258,https://www.rapid7.com/solutions/compliance/ny-dfs-cybersecurity-requirements/
259,https://www.rapid7.com/info/under-the-hoodie/
260,https://www.rapid7.com/explore/insightidr/detect-lateral-movement/index.php
261,https://www.rapid7.com/solutions/siem/
262,https://www.rapid7.com/products/insightidr/features/centralized-log-management/
263,https://www.rapid7.com/products/insightidr/features/user-behavior-analytics/
264,https://www.rapid7.com/services/detection-and-response-services/incident-response-services/
265,https://www.rapid7.com/products/insightidr/use-cases/20x-faster-investigations-and-incident-response/
266,https://twitter.com/rapid7/status/1026873150427025408
267,https://blog.rapid7.com/tag/automation-and-orchestration/
268,https://blog.rapid7.com/2018/03/07/how-to-build-an-incident-response-plan-your-battle-plan/
269,https://www.rapid7.com/privacy.jsp
270,https://status.rapid7.com/
271,https://www.rapid7.com/docs/rapid7-insight-platform-cloud-security-overview.pdf
272,https://github.com/rapid7
273,https://www.rapid7.com/pgp/public-key.txt
274,https://www.rapid7.com/lp/moosemanifesto/index.php
275,https://www.rapid7.com/company/jobs.php
276,https://services.help.rapid7.com/docs
277,https://github.com/rapid7/metasploit-framework/
278,https://github.com/rapid7/metasploit-framework/wiki
279,https://insightphish.help.rapid7.com/docs
280,https://insightagent.help.rapid7.com/docs
281,https://www.rapid7.com/try/insightphish
282,https://insight.rapid7.com/
283,https://insightops.help.rapid7.com/docs
284,https://services.help.rapid7.com
285,https://insightappsec.help.rapid7.com/docs/getting-started
286,https://www.rapid7.com/products/appspider/download/editions/
287,https://insight.rapid7.com
288,https://www.rapid7.com/products/insightops/try/
289,https://nexpose.help.rapid7.com
290,https://insightvm.help.rapid7.com
291,https://metasploit.help.rapid7.com
292,https://appspider.help.rapid7.com
293,https://insightappsec.help.rapid7.com
294,https://insightidr.help.rapid7.com
295,https://insightops.help.rapid7.com
296,https://kb.help.rapid7.com
297,https://insight.help.rapid7.com/docs
298,http://investors.rapid7.com/phoenix.zhtml?c=254015&p=irol-irhome
299,https://rapid7support.force.com/customers/
300,http://help.rapid7.com/
301,https://www.rapid7.com/company/rapid7-voice.jsp
302,https://www.rapid7.com
303,https://www.rapid7.com/products/nexpose/nexpose-enterprise-trial.jsp
304,https://www.rapid7.com/products/metasploit/metasploit-pro-registration.jsp
305,https://community.rapid7.com/
306,https://community.rapid7.com/login.jspa
307,"https://www.linkedin.com/shareArticle?mini=true&url=https://blog.rapid7.com/2017/08/24/the-next-generation-of-the-rapid7-community/&title=The Next Generation of the Rapid7 Community&summary=Welcome to the new and improved place for Rapid7 blogs! Rapid7’s blogs aim to provide readers with pragmatic, down-to-earth information and advice to"
308,https://twitter.com/intent/tweet?text=The Next Generation of the Rapid7 Community&url=https://blog.rapid7.com/2017/08/24/the-next-generation-of-the-rapid7-community/
309,https://www.facebook.com/sharer/sharer.php?u=https://blog.rapid7.com/2017/08/24/the-next-generation-of-the-rapid7-community/
310,http://help.rapid7.com
311,http://blog.rapid7.com
312,https://information.rapid7.com/iotseeker
313,https://information.rapid7.com/metasploitable-download.html
314,https://information.rapid7.com/sql-injection-cheat-sheet-download.html
315,https://information.rapid7.com/injection-non-sql-cheat-sheet-download.html
316,https://information.rapid7.com/sql-invader-download.html
317,https://github.com/rapid7/metasploit-framework/pull/10220
318,https://travis-ci.org/rapid7/metasploit-framework/builds/414973654?utm_source=github_status&utm_medium=notification
319,https://travis-ci.org/rapid7/metasploit-framework/builds/418462312?utm_source=github_status&utm_medium=notification
320,https://github.com/rapid7/metasploit-framework/commit/b220c9b0abf700b6cf544bd58088d48ee06c7a01
321,https://github.com/rapid7/metasploit-framework/commit/3fb814cef328f7d9ce8130df79a7a804c79aff6b
322,https://travis-ci.org/rapid7/metasploit-framework/jobs/415035254
323,https://travis-ci.org/rapid7/metasploit-framework/jobs/415035260
324,https://travis-ci.org/rapid7/metasploit-framework/builds/415035252?utm_source=github_status&utm_medium=notification
325,https://travis-ci.org/rapid7/metasploit-framework/builds/418476644?utm_source=github_status&utm_medium=notification
326,https://github.com/rapid7/metasploit-framework/blob/55d8360705702f5cbb389eaad0205da4dd292eda/lib/msf/core/post/file.rb#L442-L572
327,https://github.com/rapid7/metasploit-framework/issues/9854
328,https://github.com/rapid7/metasploit-framework/pull/9374#issuecomment-355419152
329,https://travis-ci.org/rapid7/metasploit-framework/builds/404846488?utm_source=github_status&utm_medium=notification
330,https://travis-ci.org/rapid7/metasploit-framework/builds/417821611?utm_source=github_status&utm_medium=notification
331,https://travis-ci.org/rapid7/metasploit-framework/builds/417821854?utm_source=github_status&utm_medium=notification
332,https://github.com/rapid7/metasploit-framework/commit/e38775b504d25c73b6bb0116b1b2987195a3f356
333,https://travis-ci.org/rapid7/metasploit-framework/builds/418161032?utm_source=github_status&utm_medium=notification
334,https://travis-ci.org/rapid7/metasploit-framework/builds/418161404?utm_source=github_status&utm_medium=notification
335,https://github.com/rapid7/metasploit-framework/commit/865898cba7252c28992d5043d1cf1c1692cccde9
336,https://www.rapid7.com/products/metasploit/metasploit-pro-registration.jsp?CS=db
337,https://github.com/rapid7/metasploit-framework/wiki/Exploit-Ranking
338,https://github.com/rapid7/metasploit-framework/blob/master/modules/exploits/linux/local/autostart_persistence.rb
339,https://github.com/rapid7/metasploit-framework/commits/master/modules/exploits/linux/local/autostart_persistence.rb
340,https://github.com/rapid7/metasploit-framework/blob/master/modules/exploits/linux/local/rc_local_persistence.rb
341,https://github.com/rapid7/metasploit-framework/commits/master/modules/exploits/linux/local/rc_local_persistence.rb
342,https://github.com/rapid7/metasploit-framework/issues/8676
343,https://github.com/rapid7/metasploit-framework/blob/d6bce4410c27c7d8e25bf8f8bd575d5dfe55dae5/lib/rex/ui/text/dispatcher_shell.rb#L537-L552
344,https://travis-ci.org/rapid7/metasploit-framework/builds/416920740?utm_source=github_status&utm_medium=notification
345,https://travis-ci.org/rapid7/metasploit-framework/builds/418450461?utm_source=github_status&utm_medium=notification
346,https://github.com/rapid7/metasploit-framework/projects/6
347,https://travis-ci.org/rapid7/metasploit-framework/builds/416631157?utm_source=github_status&utm_medium=notification
348,https://travis-ci.org/rapid7/metasploit-framework/builds/416994038?utm_source=github_status&utm_medium=notification
349,https://travis-ci.org/rapid7/metasploit-framework/builds/417009242?utm_source=github_status&utm_medium=notification
350,https://travis-ci.org/rapid7/metasploit-framework/builds/417452962?utm_source=github_status&utm_medium=notification
351,https://travis-ci.org/rapid7/metasploit-framework/builds/418322659?utm_source=github_status&utm_medium=notification
352,https://travis-ci.org/rapid7/metasploit-framework/builds/418323290?utm_source=github_status&utm_medium=notification
353,https://github.com/rapid7/metasploit-framework/compare/rapid7:ce1fe7f...rapid7:91bab0d
